Snapshot,Job No,Job Date,Warehouse,Warehouse Status,Machine,Status,Post Date,Start-Time,End-Time,Elapsed-Time,UOM,Input Qty,Output Qty,Yield Loss Qty,Department,Description,Input Value,Output Value,Expenses,User Defined 1,UserDefined2,Input Units,Output Units,Operator,Finished Product
2026-09-21T18:39:36,17141,2026-09-21,Plus Monroe Warehouse,IN PROCESS,AUTO-TIE BALER (3RD SHIFT),Work,,11:54AM,,12:06:00,LBS,0.0,0.0,0.0,Plus Materials,,0.0,0.0,0.0,,,0,0,ZUBAIR,
2026-09-21T18:39:36,17142,2026-09-21,Plus Monroe Warehouse,IN PROCESS,EXTRUDER (3RD SHIFT),Work,,11:54AM,,12:06:00,LBS,0.0,0.0,0.0,Plus Materials,,0.0,0.0,0.0,,,0,0,ZUBAIR,
2026-09-21T18:39:36,17143,2026-09-21,Plus Monroe Warehouse,IN PROCESS,GUILLOTINE (3RD SHIFT),Work,,11:55AM,,12:05:00,LBS,0.0,0.0,0.0,Plus Materials,,0.0,0.0,0.0,,,0,0,ZUBAIR,
2026-09-21T20:02:02,17040,2026-08-24,PRN Southeast,IN PROCESS,BALER,Work,,5:08AM,,18:52:00,LBS,16876.0,24146.0,-7270.0,Plus Materials,,630.77,0.0,0.0,,,61,12,,
2026-09-21T20:02:02,17129,2026-09-11,Plus Monroe Warehouse,IN PROCESS,AUTO-TIE BALER (1ST SHIFT),Work,,3:58PM,,08:02:00,LBS,0.0,30933.0,-30933.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-21T20:02:02,17130,2026-09-11,Plus Monroe Warehouse,IN PROCESS,EXTRUDER (1ST SHIFT),Work,,3:58PM,,08:02:00,LBS,0.0,60191.0,-60191.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-21T20:02:02,17131,2026-09-11,Plus Monroe Warehouse,IN PROCESS,GREEN MAX (NEW) (1ST SHIFT),Work,,3:59PM,,08:01:00,LBS,0.0,3958.0,-3958.0,Plus Materials,,0.0,0.0,0.0,,,0,3,,
2026-09-21T20:02:02,17132,2026-09-11,Plus Monroe Warehouse,IN PROCESS,GUILLOTINE (1ST SHIFT),Work,,3:59PM,,08:01:00,LBS,0.0,41613.0,-41613.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-21T20:02:02,17133,2026-09-11,Plus Monroe Warehouse,IN PROCESS,SHREDDER (1ST SHIFT),Work,,4:01PM,,07:59:00,LBS,0.0,4827.0,-4827.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-21T20:02:02,17134,2026-09-11,Plus Monroe Warehouse,IN PROCESS,SHREDDER/GRINDER (1ST SHIFT),Work,,4:01PM,,07:59:00,LBS,0.0,10390.0,-10390.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-21T20:02:02,17135,2026-09-21,Plus Monroe Warehouse,IN PROCESS,AUTO-TIE BALER (2ND SHIFT),Work,,11:51AM,,12:09:00,LBS,0.0,2302.0,-2302.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-21T20:02:02,17136,2026-09-21,Plus Monroe Warehouse,IN PROCESS,EXTRUDER (2ND SHIFT),Work,,11:51AM,,12:09:00,LBS,0.0,0.0,0.0,Plus Materials,,0.0,0.0,0.0,,,0,0,ZUBAIR,
2026-09-21T20:02:02,17137,2026-09-21,Plus Monroe Warehouse,IN PROCESS,GREEN MAX (NEW) (2ND SHIFT),Work,,11:52AM,,12:08:00,LBS,0.0,0.0,0.0,Plus Materials,,0.0,0.0,0.0,,,0,0,ZUBAIR,
2026-09-21T20:02:02,17138,2026-09-21,Plus Monroe Warehouse,IN PROCESS,GUILLOTINE (2ND SHIFT),Work,,11:52AM,,12:08:00,LBS,0.0,11723.0,-11723.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-21T20:02:02,17139,2026-09-21,Plus Monroe Warehouse,IN PROCESS,SHREDDER (2ND SHIFT),Work,,11:53AM,,12:07:00,LBS,0.0,1407.0,-1407.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-21T20:02:02,17140,2026-09-21,Plus Monroe Warehouse,IN PROCESS,SHREDDER/GRINDER (2ND SHIFT),Work,,11:53AM,,12:07:00,LBS,0.0,0.0,0.0,Plus Materials,,0.0,0.0,0.0,,,0,0,ZUBAIR,
2026-09-21T20:02:02,17141,2026-09-21,Plus Monroe Warehouse,IN PROCESS,AUTO-TIE BALER (3RD SHIFT),Work,,11:54AM,,12:06:00,LBS,0.0,0.0,0.0,Plus Materials,,0.0,0.0,0.0,,,0,0,ZUBAIR,
2026-09-21T20:02:02,17142,2026-09-21,Plus Monroe Warehouse,IN PROCESS,EXTRUDER (3RD SHIFT),Work,,11:54AM,,12:06:00,LBS,0.0,0.0,0.0,Plus Materials,,0.0,0.0,0.0,,,0,0,ZUBAIR,
2026-09-21T20:02:02,17143,2026-09-21,Plus Monroe Warehouse,IN PROCESS,GUILLOTINE (3RD SHIFT),Work,,11:55AM,,12:05:00,LBS,0.0,0.0,0.0,Plus Materials,,0.0,0.0,0.0,,,0,0,ZUBAIR,
2026-09-21T20:38:00,17040,2026-08-24,PRN Southeast,IN PROCESS,BALER,Work,,5:08AM,,18:52:00,LBS,16876.0,24146.0,-7270.0,Plus Materials,,630.77,0.0,0.0,,,61,12,,
2026-09-21T20:38:00,17129,2026-09-11,Plus Monroe Warehouse,IN PROCESS,AUTO-TIE BALER (1ST SHIFT),Work,,3:58PM,,08:02:00,LBS,0.0,30933.0,-30933.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-21T20:38:00,17130,2026-09-11,Plus Monroe Warehouse,IN PROCESS,EXTRUDER (1ST SHIFT),Work,,3:58PM,,08:02:00,LBS,0.0,60191.0,-60191.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-21T20:38:00,17131,2026-09-11,Plus Monroe Warehouse,IN PROCESS,GREEN MAX (NEW) (1ST SHIFT),Work,,3:59PM,,08:01:00,LBS,0.0,3958.0,-3958.0,Plus Materials,,0.0,0.0,0.0,,,0,3,,
2026-09-21T20:38:00,17132,2026-09-11,Plus Monroe Warehouse,IN PROCESS,GUILLOTINE (1ST SHIFT),Work,,3:59PM,,08:01:00,LBS,0.0,41613.0,-41613.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-21T20:38:00,17133,2026-09-11,Plus Monroe Warehouse,IN PROCESS,SHREDDER (1ST SHIFT),Work,,4:01PM,,07:59:00,LBS,0.0,4827.0,-4827.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-21T20:38:00,17134,2026-09-11,Plus Monroe Warehouse,IN PROCESS,SHREDDER/GRINDER (1ST SHIFT),Work,,4:01PM,,07:59:00,LBS,0.0,10390.0,-10390.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-21T20:38:00,17135,2026-09-21,Plus Monroe Warehouse,IN PROCESS,AUTO-TIE BALER (2ND SHIFT),Work,,11:51AM,,12:09:00,LBS,0.0,3358.0,-3358.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-21T20:38:00,17136,2026-09-21,Plus Monroe Warehouse,IN PROCESS,EXTRUDER (2ND SHIFT),Work,,11:51AM,,12:09:00,LBS,0.0,0.0,0.0,Plus Materials,,0.0,0.0,0.0,,,0,0,ZUBAIR,
2026-09-21T20:38:00,17137,2026-09-21,Plus Monroe Warehouse,IN PROCESS,GREEN MAX (NEW) (2ND SHIFT),Work,,11:52AM,,12:08:00,LBS,0.0,0.0,0.0,Plus Materials,,0.0,0.0,0.0,,,0,0,ZUBAIR,
2026-09-21T20:38:00,17138,2026-09-21,Plus Monroe Warehouse,IN PROCESS,GUILLOTINE (2ND SHIFT),Work,,11:52AM,,12:08:00,LBS,0.0,11723.0,-11723.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-21T20:38:00,17139,2026-09-21,Plus Monroe Warehouse,IN PROCESS,SHREDDER (2ND SHIFT),Work,,11:53AM,,12:07:00,LBS,0.0,1407.0,-1407.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-21T20:38:00,17140,2026-09-21,Plus Monroe Warehouse,IN PROCESS,SHREDDER/GRINDER (2ND SHIFT),Work,,11:53AM,,12:07:00,LBS,0.0,0.0,0.0,Plus Materials,,0.0,0.0,0.0,,,0,0,ZUBAIR,
2026-09-21T20:38:00,17141,2026-09-21,Plus Monroe Warehouse,IN PROCESS,AUTO-TIE BALER (3RD SHIFT),Work,,11:54AM,,12:06:00,LBS,0.0,0.0,0.0,Plus Materials,,0.0,0.0,0.0,,,0,0,ZUBAIR,
2026-09-21T20:38:00,17142,2026-09-21,Plus Monroe Warehouse,IN PROCESS,EXTRUDER (3RD SHIFT),Work,,11:54AM,,12:06:00,LBS,0.0,0.0,0.0,Plus Materials,,0.0,0.0,0.0,,,0,0,ZUBAIR,
2026-09-21T20:38:00,17143,2026-09-21,Plus Monroe Warehouse,IN PROCESS,GUILLOTINE (3RD SHIFT),Work,,11:55AM,,12:05:00,LBS,0.0,0.0,0.0,Plus Materials,,0.0,0.0,0.0,,,0,0,ZUBAIR,
2026-09-21T21:23:34,17040,2026-08-24,PRN Southeast,IN PROCESS,BALER,Work,,5:08AM,,18:52:00,LBS,16876.0,24146.0,-7270.0,Plus Materials,,630.77,0.0,0.0,,,61,12,,
2026-09-21T21:23:34,17129,2026-09-11,Plus Monroe Warehouse,IN PROCESS,AUTO-TIE BALER (1ST SHIFT),Work,,3:58PM,,08:02:00,LBS,0.0,30933.0,-30933.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-21T21:23:34,17130,2026-09-11,Plus Monroe Warehouse,IN PROCESS,EXTRUDER (1ST SHIFT),Work,,3:58PM,,08:02:00,LBS,0.0,60191.0,-60191.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-21T21:23:34,17131,2026-09-11,Plus Monroe Warehouse,IN PROCESS,GREEN MAX (NEW) (1ST SHIFT),Work,,3:59PM,,08:01:00,LBS,0.0,3958.0,-3958.0,Plus Materials,,0.0,0.0,0.0,,,0,3,,
2026-09-21T21:23:34,17132,2026-09-11,Plus Monroe Warehouse,IN PROCESS,GUILLOTINE (1ST SHIFT),Work,,3:59PM,,08:01:00,LBS,0.0,41613.0,-41613.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-21T21:23:34,17133,2026-09-11,Plus Monroe Warehouse,IN PROCESS,SHREDDER (1ST SHIFT),Work,,4:01PM,,07:59:00,LBS,0.0,4827.0,-4827.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-21T21:23:34,17134,2026-09-11,Plus Monroe Warehouse,IN PROCESS,SHREDDER/GRINDER (1ST SHIFT),Work,,4:01PM,,07:59:00,LBS,0.0,10390.0,-10390.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-21T21:23:34,17135,2026-09-21,Plus Monroe Warehouse,IN PROCESS,AUTO-TIE BALER (2ND SHIFT),Work,,11:51AM,,12:09:00,LBS,0.0,3358.0,-3358.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-21T21:23:34,17136,2026-09-21,Plus Monroe Warehouse,IN PROCESS,EXTRUDER (2ND SHIFT),Work,,11:51AM,,12:09:00,LBS,0.0,1694.0,-1694.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-21T21:23:34,17137,2026-09-21,Plus Monroe Warehouse,IN PROCESS,GREEN MAX (NEW) (2ND SHIFT),Work,,11:52AM,,12:08:00,LBS,0.0,0.0,0.0,Plus Materials,,0.0,0.0,0.0,,,0,0,ZUBAIR,
2026-09-21T21:23:34,17138,2026-09-21,Plus Monroe Warehouse,IN PROCESS,GUILLOTINE (2ND SHIFT),Work,,11:52AM,,12:08:00,LBS,0.0,11723.0,-11723.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-21T21:23:34,17139,2026-09-21,Plus Monroe Warehouse,IN PROCESS,SHREDDER (2ND SHIFT),Work,,11:53AM,,12:07:00,LBS,0.0,1407.0,-1407.0,Plus Materials,,0.0,0.0,0.0,,,0,0,,
2026-09-21T21:23:34,17140,2026-09-21,Plus Monroe Warehouse,IN PROCESS,SHREDDER/GRINDER (2ND SHIFT),Work,,11:53AM,,12:07:00,LBS,0.0,0.0,0.0,Plus Materials,,0.0,0.0,0.0,,,0,0,ZUBAIR,
2026-09-21T21:23:34,17141,2026-09-21,Plus Monroe Warehouse,IN PROCESS,AUTO-TIE BALER (3RD SHIFT),Work,,11:54AM,,12:06:00,LBS,0.0,0.0,0.0,Plus Materials,,0.0,0.0,0.0,,,0,0,ZUBAIR,
2026-09-21T21:23:34,17142,2026-09-21,Plus Monroe Warehouse,IN PROCESS,EXTRUDER (3RD SHIFT),Work,,11:54AM,,12:06:00,LBS,0.0,0.0,0.0,Plus Materials,,0.0,0.0,0.0,,,0,0,ZUBAIR,
2026-09-21T21:23:34,17143,2026-09-21,Plus Monroe Warehouse,IN PROCESS,GUILLOTINE (3RD SHIFT),Work,,11:55AM,,12:05:00,LBS,0.0,0.0,0.0,Plus Materials,,0.0,0.0,0.0,,,0,0,ZUBAIR,
